[1] Artificial intelligence and jobs: Evidence from online vacancies | 10.1086/ | https://researchonline.lse.ac.uk/id/eprint/113325/1/AI_And_Jobs.pdf
[2] Demand heterogeneity and technology evolution: Implications for product and process innovation | 10.1287/mnsc.47.5.611.10482 | NOT_FOUND
[7] Text matching to measure patent similarity | 10.1002/smj.2699 | https://lirias.kuleuven.be/handle/123456789/643242
[13] Attention to digital innovation: Exploring the impact of a chief information officer in the top management team | 10.25300/MISQ/2023/17152 | https://doi.org/10.25300/misq/2023/17152
[26] Business method innovation in U.S | 10.1287/msom.2022.1129 | NOT_FOUND
[28] Scope versus speed: Team diversity, leader experience, and patenting outcomes for firms | 10.1002/smj.2753 | http://nrs.harvard.edu/urn-3:HUL.InstRepos:39916993
[30] The impact of artificial intelligence on innovation: An exploratory analysis | 10.7208/chicago/9780226613475 | NOT_FOUND
[34] When is an invention really radical? Defining and measuring technological radicalness | 10.1016/j.respol | https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID899369_code409111.pdf?abstractid=899369&mirid=1
[41] Risky recombinations: Institutional gatekeeping in the innovation process | 10.1287/orsc.2016.1106 | NOT_FOUND
[43] Recombinant uncertainty in technological search | 10.1287/ | NOT_FOUND
[45] Concentration and agglomeration of IT innovation and entrepreneurship: Evidence from patenting | — | NOT_FOUND
[47] AI and the economy | 10.1086/ | NOT_FOUND
[49] Identifying artificial intelligence (AI) invention: A novel AI patent dataset | — | NOT_FOUND
[57] Complementarity between investment in information technology (IT) and IT human resources: Implications for different types of firm innovation | — | NOT_FOUND
[63] Causal inference without balance checking: Coarsened exact matching | 10.1093/pan/mpr013 | https://www.cambridge.org/core/services/aop-cambridge-core/content/view/5ABCF5B3FC3089A87FD59CECBB3465C0/S1047198700012985a.pdf/div-class-title-causal-inference-without-balance-checking-coarsened-exact-matching-div.pdf
[66] The double-edged sword of recombination in breakthrough innovation | 10.1002/smj.2294 | NOT_FOUND
[68] Information technology and intangible output: The impact of IT investment on innovation productivity | 10.1287/isre.1100.0338 | NOT_FOUND
[72] Patent citations reexamined | 10.1111/1756-2171.12307 | https://infoscience.epfl.ch/handle/20.500.14299/167955
[75] Patent claims and patent scope | 10.1016/j.respol.2019.04.014 | NOT_FOUND
[106] Atypical combinations and scientific impact | 10.1126/science.1240474 | NOT_FOUND
[109] How does online lending influence bankruptcy filings? Management Science, 68(5), 3309-3329 | 10.1287/mnsc.2021.4045 | NOT_FOUND
